Time,Time Code,Country Name,Country Code,GDP (current US$) [NY.GDP.MKTP.CD],GDP growth (annual %) [NY.GDP.MKTP.KD.ZG],"Inflation, consumer prices (annual %) [FP.CPI.TOTL.ZG]",Gross capital formation (% of GDP) [NE.GDI.TOTL.ZS],"Life expectancy at birth, total (years) [SP.DYN.LE00.IN]",Individuals using the Internet (% of population) [IT.NET.USER.ZS],Access to electricity (% of population) [EG.ELC.ACCS.ZS],Exports of goods and services (% of GDP) [NE.EXP.GNFS.ZS],Domestic credit to private sector by banks (% of GDP) [FD.AST.PRVT.GD.ZS]
2003,YR2003,Malaysia,MYS,110202368421.053,5.7884992858875,1.08967632577286,22.7633850643195,73.727,34.9712,98.7,106.943446148115,118.591510355351
2003,YR2003,Mexico,MEX,765549967888.647,1.18554486709559,4.54690012118718,20.8808458648635,73.308,12.9,97.4,23.6555935033272,12.7812429704676
2003,YR2003,Netherlands,NLD,582435617081.96,0.097832364227159,2.09199838997654,20.4311120001709,78.4926829268293,64.35,100,59.2393489233853,108.372289041971
2003,YR2003,New Zealand,NZL,88250885550.2626,4.72804204913962,1.75357444759557,24.128385766287,79.1463414634146,60.9625,100,29.8397254017245,106.912278030754
2003,YR2003,Norway,NOR,229385469337.024,0.944909363247831,2.48782553461784,19.4284817082745,79.390243902439,78.13,100,39.6723098094631,98.4228196322512
2003,YR2003,Portugal,PRT,165226175536.793,-0.930521040324891,3.21899090682895,23.1147053583821,77.219512195122,29.67,100,27.3671918978917,120.535758113191
2003,YR2003,Qatar,QAT,23533791208.7912,3.71995867654906,..,34.8656946406266,76.097,19.2423,100,61.6975823867948,29.9643439991595
2003,YR2003,Russian Federation,RUS,430347420184.885,7.29995234528189,13.6632930228666,20.8589584807348,65.0275609756098,8.29886,97.9,35.2499817757806,21.2352389193732
2003,YR2003,Saudi Arabia,SAU,215807733333.333,8.76873381743964,0.612194122665989,19.4924123818856,73.657,8.00158,100,45.8541491871159,28.2333101439677
2003,YR2003,Singapore,SGP,97646401095.6369,4.54825542643229,..,17.2245248736318,79.0390243902439,53.8379,100,202.586206389804,104.782036458245
2003,YR2003,Slovenia,SVN,29360575031.8177,3.19503117236037,5.54416421752901,26.8382582282831,76.8585365853659,31.8548,100,51.4798131882271,..
2003,YR2003,South Africa,ZAF,197018965308.697,2.94907546754213,5.679424140688,15.6571145272722,54.245,7.00769,78.8,23.9152733614034,54.0590200178425
2003,YR2003,Spain,ESP,907963217057.645,2.9392895953076,3.03888839396655,27.5285511216757,79.619512195122,39.93,100,25.6155917093049,106.544052882645
2003,YR2003,Switzerland,CHE,362075086507.76,-0.0323984255438887,0.638272930887198,25.9844181861728,80.5365853658537,65.1,100,47.7207184344473,140.886754633401
2003,YR2003,Sweden,SWE,334074051172.972,1.88094411817545,1.92565534892391,21.2455805699441,80.0951219512195,79.13,100,40.3353343774744,89.9089479877827
2003,YR2003,Thailand,THA,152280615245.887,7.18924330340971,..,23.829298673817,72.101,9.29903,91.6,61.522551633189,94.1345281515536
2003,YR2003,Turkiye,TUR,314595572145.767,5.76320606654714,21.6024384490573,22.3086235794323,72.906,12.33,99.8,23.0061778959535,14.0106600106125
2003,YR2003,United Arab Emirates,ARE,124346358066.712,8.80054081355328,..,22.1297618369823,79.6,29.478,100,55.9231992151745,36.1630702795503
2003,YR2003,United States,USA,11456450000000,2.79560596521233,2.27009497336115,21.7456192799689,77.0365853658537,61.6971,100,9.03565240541354,51.4630657844523
2003,YR2003,United Kingdom,GBR,2054422857142.86,3.15234651882265,1.37650038542013,17.9387189728641,78.4463414634146,64.82,100,24.0564905660977,129.109997822518
2003,YR2003,Viet Nam,VNM,39552513231.9169,6.89906349055258,3.23464817293926,35.444857957463,73.236,3.78028,90.3,56.6732579147533,48.37235081336
2004,YR2004,Germany,DEU,2852317768061.78,1.16236825444811,1.66573696655992,19.0213864564072,78.6804878048781,64.73,100,33.9352126434777,105.024726999965
2004,YR2004,India,IND,709152728830.775,7.92293661199932,3.76725173477515,35.0964917017773,64.484,1.97614,64.4,17.8591249630479,36.1918038545968
2004,YR2004,Australia,AUS,614659980082.515,4.22428481359962,2.34325522482584,27.0636473789158,80.490243902439,..,100,17.1624682179729,102.611545762354
2004,YR2004,Austria,AUT,299210411454.823,2.56525534067859,2.06120618032862,24.2036725711211,79.1804878048781,54.28,100,47.2191991038628,88.0861722590027
2004,YR2004,Belgium,BEL,369214712443.206,3.57120671942319,2.09728311239315,22.6670601715452,78.8780487804878,53.86,100,70.906277447218,61.841919522188
2004,YR2004,Brazil,BRA,669289424806.307,5.75996463670954,6.59718509985963,17.9125683422575,71.361,19.0737,96.8,16.5457615119353,29.372770255415
2004,YR2004,China,CHN,1984196551300.44,10.1314073631003,3.8246374310816,41.6343741627493,73.727,7.3,97.7,30.6097162464404,116.828196166305
2004,YR2004,Denmark,DNK,251986155630.852,2.77635180744053,1.15435693124932,21.6460819600503,77.4926829268293,80.93,100,43.821544808921,145.291740243273
2004,YR2004,Indonesia,IDN,256836875295.452,5.03087394501685,6.06406189133647,24.0563663747717,65.521,2.60029,89,32.2166946182599,24.7220734058615
2004,YR2004,Ireland,IRL,194372115041.065,6.78813894175178,2.17854605730523,27.2182633667919,78.5390243902439,36.99,100,80.4755800800168,104.895719569245
2004,YR2004,Israel,ISR,140047984605.087,4.64789744397389,-0.421595034547413,22.7469810591964,80.1463414634146,22.7705,100,37.2034160019932,72.0128329445673
2004,YR2004,Italy,ITA,1812808753294.75,1.4740217064723,2.20673661423658,21.6420048852847,80.7804878048781,33.24,100,23.9268409466402,67.1749295059094
2004,YR2004,Japan,JPN,4893116005656.56,2.18611569439318,-0.00857338820306043,25.638207264098,82.030243902439,62.3939,100,12.7862646247862,91.8939503125136
2004,YR2004,"Korea, Rep.",KOR,793175561887.027,5.19739136324382,3.59066298882578,32.5495531236433,77.6658536585366,72.7,100,36.7543364487134,105.859883413221
2004,YR2004,Luxembourg,LUX,35064843792.8993,4.23188928835465,2.22567916428889,21.3053196225941,79.1219512195122,65.88,100,143.73436357449,65.9964688128905
2004,YR2004,Malaysia,MYS,124749473684.211,6.78343772370305,1.42127115937403,23.0495646010531,74.027,42.2523,98.7,115.373337721075,111.628782528352
2004,YR2004,Mexico,MEX,819459227375.022,3.56544102622887,4.68840884843143,22.0461782270566,73.432,14.1,98.6,25.1033560080055,12.2130881663775
2004,YR2004,Netherlands,NLD,661224886143.245,2.01630996216733,1.2636473918318,20.2354145150337,79.0951219512195,68.52,100,62.5959181523516,112.327939906654
